Time       moves_acc moves_gen     F(Q)_1     Bragg   X_ray_(R)1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01
044211.699      152799      383563  0.876E-02  0.358E-02  0.667E-02
045211.619      153395      385132  0.876E-02  0.357E-02  0.666E-02
050211.626      153966      386701  0.876E-02  0.357E-02  0.665E-02
051211.929      154567      388276  0.876E-02  0.356E-02  0.664E-02
052211.562      155192      389856  0.876E-02  0.355E-02  0.664E-02
053211.650      155815      391427  0.876E-02  0.355E-02  0.663E-02
054211.714      156371      392985  0.876E-02  0.354E-02  0.663E-02
055211.515      156934      394559  0.876E-02  0.354E-02  0.663E-02
060211.578      157538      396108  0.876E-02  0.353E-02  0.662E-02
061212.001      158100      397634  0.875E-02  0.353E-02  0.661E-02
062211.782      158729      399177  0.875E-02  0.352E-02  0.660E-02
063211.798      159274      400648  0.875E-02  0.352E-02  0.659E-02
064211.576      159865      402153  0.875E-02  0.351E-02  0.658E-02
065211.792      160441      403666  0.875E-02  0.350E-02  0.658E-02
070211.834      160937      405189  0.875E-02  0.350E-02  0.658E-02
071211.857      161519      406710  0.875E-02  0.350E-02  0.657E-02
072211.899      162109      408254  0.875E-02  0.348E-02  0.658E-02
073211.916      162698      409750  0.875E-02  0.348E-02  0.659E-02
074211.844      163245      411210  0.875E-02  0.347E-02  0.658E-02
075211.879      163816      412760  0.875E-02  0.347E-02  0.657E-02
080211.876      164380      414279  0.875E-02  0.346E-02  0.656E-02
081211.898      164910      415819  0.875E-02  0.345E-02  0.656E-02
082211.880      165476      417367  0.875E-02  0.345E-02  0.655E-02
083211.893      166037      418913  0.875E-02  0.345E-02  0.654E-02
084211.587      166605      420430  0.875E-02  0.344E-02  0.654E-02
085211.824      167202      421978  0.875E-02  0.343E-02  0.653E-02
090211.968      167771      423530  0.875E-02  0.343E-02  0.652E-02
091211.889      168318      425058  0.874E-02  0.342E-02  0.652E-02
092211.682      168907      426631  0.874E-02  0.342E-02  0.651E-02
093211.838      169499      428200  0.874E-02  0.341E-02  0.650E-02
094211.796      170098      429788  0.874E-02  0.341E-02  0.649E-02
095211.804      170685      431340  0.874E-02  0.340E-02  0.648E-02
100211.838      171287      432892  0.874E-02  0.340E-02  0.648E-02
101211.830      171888      434447  0.873E-02  0.339E-02  0.647E-02
102211.606      172492      436024  0.873E-02  0.339E-02  0.646E-02
103211.769      173088      437620  0.873E-02  0.339E-02  0.645E-02
104211.662      173684      439192  0.873E-02  0.338E-02  0.644E-02
105211.656      174258      440716  0.873E-02  0.338E-02  0.644E-02
110211.825      174812      442293  0.873E-02  0.337E-02  0.643E-02
111211.600      175396      443860  0.873E-02  0.337E-02  0.642E-02
112211.634      175982      445420  0.873E-02  0.336E-02  0.641E-02
113211.809      176577      446977  0.872E-02  0.336E-02  0.640E-02
114211.970      177141      448517  0.872E-02  0.335E-02  0.640E-02
115211.641      177724      450073  0.872E-02  0.335E-02  0.639E-02
120211.616      178308      451636  0.872E-02  0.334E-02  0.638E-02
121211.766      178880      453173  0.872E-02  0.334E-02  0.637E-02
122211.738      179444      454749  0.872E-02  0.333E-02  0.636E-02
123211.675      179991      456309  0.872E-02  0.333E-02  0.636E-02
124211.911      180561      457873  0.872E-02  0.332E-02  0.635E-02
125211.911      181102      459419  0.872E-02  0.332E-02  0.635E-02
130211.858      181690      460982  0.872E-02  0.332E-02  0.634E-02
131211.837      182267      462553  0.871E-02  0.331E-02  0.633E-02
132212.000      182868      464111  0.871E-02  0.331E-02  0.632E-02
133211.738      183453      465677  0.871E-02  0.330E-02  0.631E-02
134211.890      184050      467265  0.870E-02  0.331E-02  0.629E-02
135211.832      184672      468842  0.869E-02  0.332E-02  0.626E-02
140212.074      185269      470418  0.869E-02  0.331E-02  0.625E-02
141211.786      185820      471985  0.869E-02  0.331E-02  0.624E-02
142211.649      186383      473547  0.869E-02  0.330E-02  0.623E-02
143211.710      186945      475100  0.869E-02  0.330E-02  0.623E-02
144211.679      187476      476674  0.869E-02  0.329E-02  0.622E-02
145211.927      188043      478243  0.868E-02  0.329E-02  0.621E-02
150211.916      188637      479792  0.868E-02  0.329E-02  0.621E-02
151211.909      189221      481335  0.868E-02  0.328E-02  0.620E-02
152211.594      189763      482903  0.868E-02  0.328E-02  0.619E-02
153211.859      190354      484446  0.868E-02  0.327E-02  0.619E-02
154211.761      190936      485997  0.868E-02  0.327E-02  0.618E-02
155211.593      191506      487567  0.868E-02  0.326E-02  0.618E-02
160211.962      192069      489124  0.868E-02  0.326E-02  0.617E-02
161211.963      192634      490654  0.868E-02  0.325E-02  0.617E-02
162211.997      193203      492214  0.868E-02  0.325E-02  0.616E-02
163211.828      193799      493762  0.868E-02  0.324E-02  0.615E-02
164211.767      194342      495296  0.868E-02  0.324E-02  0.615E-02
165211.734      194909      496836  0.868E-02  0.323E-02  0.614E-02
170211.728      195467      498373  0.867E-02  0.323E-02  0.613E-02
171211.961      196062      499904  0.867E-02  0.324E-02  0.610E-02
172211.792      196681      501466  0.866E-02  0.325E-02  0.607E-02
173211.880      197263      503039  0.865E-02  0.324E-02  0.607E-02
174211.611      197857      504600  0.865E-02  0.323E-02  0.606E-02
175211.849      198448      506155  0.865E-02  0.323E-02  0.606E-02
180211.718      199038      507718  0.865E-02  0.322E-02  0.605E-02
181211.793      199633      509244  0.865E-02  0.322E-02  0.605E-02
182211.708      200180      510805  0.865E-02  0.321E-02  0.604E-02
183211.622      200757      512376  0.865E-02  0.321E-02  0.604E-02
184211.899      201366      513954  0.865E-02  0.321E-02  0.603E-02
185211.740      201945      515527  0.865E-02  0.320E-02  0.602E-02
190211.885      202551      517089  0.864E-02  0.320E-02  0.601E-02
191211.858      203114      518639  0.864E-02  0.319E-02  0.600E-02
192211.615      203717      520197  0.864E-02  0.319E-02  0.600E-02
193211.707      204271      521710  0.864E-02  0.318E-02  0.599E-02
194211.551      204774      523155  0.864E-02  0.318E-02  0.599E-02
195211.903      205335      524669  0.864E-02  0.317E-02  0.598E-02
200211.614      205874      526162  0.864E-02  0.317E-02  0.598E-02
201211.982      206439      527625  0.864E-02  0.316E-02  0.598E-02
202211.860      206960      529135  0.864E-02  0.316E-02  0.597E-02
203211.766      207570      530698  0.863E-02  0.316E-02  0.595E-02
204211.729      208128      532258  0.862E-02  0.317E-02  0.592E-02
205212.093      208705      533788  0.862E-02  0.317E-02  0.592E-02
210211.756      209290      535328  0.861E-02  0.318E-02  0.589E-02
211211.768      209927      536883  0.860E-02  0.319E-02  0.586E-02
212211.919      210566      538435  0.859E-02  0.320E-02  0.583E-02
213211.626      211170      540009  0.859E-02  0.319E-02  0.582E-02
214212.035      211722      541592  0.859E-02  0.319E-02  0.582E-02
215211.697      212272      543147  0.859E-02  0.318E-02  0.581E-02
220211.641      212852      544720  0.859E-02  0.318E-02  0.581E-02
221211.606      213437      546314  0.859E-02  0.317E-02  0.580E-02
222211.957      214028      547895  0.859E-02  0.317E-02  0.580E-02
