       Q,      F(Q)_RMC,  F(Q)_Expt
      5.1300000 ,       1.6616061 ,       1.6988977
      5.1400000 ,       1.4903064 ,       1.5118502
      5.1500000 ,       1.2274437 ,       1.2216096
      5.1600000 ,       0.9150013 ,       0.8769719
      5.1700000 ,       0.6002849 ,       0.5340155
      5.1800000 ,       0.3274424 ,       0.2456490
      5.1900000 ,       0.1295879 ,       0.0516586
      5.2000000 ,       0.0231209 ,      -0.0286718
      5.2100000 ,       0.0054154 ,       0.0002160
      5.2200000 ,       0.0563736 ,       0.1118210
      5.2300000 ,       0.1435353 ,       0.2638439
      5.2400000 ,       0.2296780 ,       0.4077449
      5.2500000 ,       0.2813007 ,       0.4995748
      5.2600000 ,       0.2761802 ,       0.5097496
      5.2700000 ,       0.2083743 ,       0.4296449
      5.2800000 ,       0.0895873 ,       0.2735628
      5.2900000 ,      -0.0534058 ,       0.0756251
      5.3000000 ,      -0.1847244 ,      -0.1177451
      5.3100000 ,      -0.2674463 ,      -0.2581196
      5.3200000 ,      -0.2720195 ,      -0.3058924
      5.3300000 ,      -0.1831932 ,      -0.2392741
      5.3400000 ,      -0.0039609 ,      -0.0594900
      5.3500000 ,       0.2443421 ,       0.2089398
      5.3600000 ,       0.5258039 ,       0.5228827
      5.3700000 ,       0.7967528 ,       0.8291942
      5.3800000 ,       1.0141576 ,       1.0753514
      5.3900000 ,       1.1438264 ,       1.2198150
      5.4000000 ,       1.1666886 ,       1.2399145
      5.4100000 ,       1.0818921 ,       1.1356356
      5.4200000 ,       0.9061626 ,       0.9286222
      5.4300000 ,       0.6696898 ,       0.6567687
      5.4400000 ,       0.4095460 ,       0.3657343
      5.4500000 ,       0.1621358 ,       0.0993378
      5.4600000 ,      -0.0436746 ,      -0.1090327
      5.4700000 ,      -0.1913232 ,      -0.2421797
      5.4800000 ,      -0.2783229 ,      -0.3009180
      5.4900000 ,      -0.3148540 ,      -0.3017938
      5.5000000 ,      -0.3197182 ,      -0.2714725
      5.5100000 ,      -0.3147602 ,      -0.2392930
      5.5200000 ,      -0.3191476 ,      -0.2298306
      5.5300000 ,      -0.3448512 ,      -0.2572156
      5.5400000 ,      -0.3943077 ,      -0.3224479
      5.5500000 ,      -0.4606728 ,      -0.4141725
      5.5600000 ,      -0.5304302 ,      -0.5125247
      5.5700000 ,      -0.5875615 ,      -0.5949276
      5.5800000 ,      -0.6181455 ,      -0.6422959
      5.5900000 ,      -0.6141994 ,      -0.6440690
      5.6000000 ,      -0.5758218 ,      -0.6008461
      5.6100000 ,      -0.5111584 ,      -0.5240452
      5.6200000 ,      -0.4342797 ,      -0.4327733
      5.6300000 ,      -0.3615871 ,      -0.3487947
      5.6400000 ,      -0.3077144 ,      -0.2909432
      5.6500000 ,      -0.2819983 ,      -0.2704320
      5.6600000 ,      -0.2864125 ,      -0.2882546
      5.6700000 ,      -0.3154676 ,      -0.3353128
      5.6800000 ,      -0.3580601 ,      -0.3951963
      5.6900000 ,      -0.4007462 ,      -0.4488576
      5.7000000 ,      -0.4315566 ,      -0.4799369
      5.7100000 ,      -0.4433268 ,      -0.4793334
      5.7200000 ,      -0.4356509 ,      -0.4478062
      5.7300000 ,      -0.4149203 ,      -0.3958953
      5.7400000 ,      -0.3924091 ,      -0.3411329
