Time       moves_acc moves_gen     F(Q)_1  Curvature  Curvature  Curvature  Curvature  Curvature  Curvature   X_ray_(R)1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
113554.807      165920      239486  0.226E-01  0.000E+00  0.000E+00  0.814E+00  0.000E+00  0.321E-01  0.000E+00  0.389E-01
114554.653      166833      241231  0.223E-01  0.000E+00  0.000E+00  0.780E+00  0.000E+00  0.327E-01  0.000E+00  0.375E-01
115554.715      167724      242972  0.220E-01  0.000E+00  0.000E+00  0.776E+00  0.000E+00  0.319E-01  0.000E+00  0.363E-01
120554.772      168655      244715  0.216E-01  0.000E+00  0.000E+00  0.780E+00  0.000E+00  0.385E-01  0.000E+00  0.350E-01
121554.583      169573      246451  0.213E-01  0.000E+00  0.000E+00  0.784E+00  0.000E+00  0.318E-01  0.000E+00  0.338E-01
122554.910      170500      248188  0.210E-01  0.000E+00  0.000E+00  0.778E+00  0.000E+00  0.348E-01  0.000E+00  0.327E-01
123554.791      171418      249929  0.207E-01  0.000E+00  0.000E+00  0.779E+00  0.000E+00  0.367E-01  0.000E+00  0.316E-01
124554.728      172344      251667  0.204E-01  0.000E+00  0.000E+00  0.782E+00  0.000E+00  0.405E-01  0.000E+00  0.305E-01
125554.622      173261      253403  0.200E-01  0.000E+00  0.000E+00  0.780E+00  0.000E+00  0.336E-01  0.000E+00  0.294E-01
130554.732      174167      255140  0.197E-01  0.000E+00  0.000E+00  0.782E+00  0.000E+00  0.423E-01  0.000E+00  0.283E-01
131554.898      175050      256879  0.194E-01  0.000E+00  0.000E+00  0.777E+00  0.000E+00  0.266E-01  0.000E+00  0.274E-01
132554.758      175917      258613  0.192E-01  0.000E+00  0.000E+00  0.778E+00  0.000E+00  0.324E-01  0.000E+00  0.266E-01
133554.837      176749      260349  0.189E-01  0.000E+00  0.000E+00  0.791E+00  0.000E+00  0.251E-01  0.000E+00  0.257E-01
134554.748      177645      262082  0.186E-01  0.000E+00  0.000E+00  0.781E+00  0.000E+00  0.255E-01  0.000E+00  0.249E-01
135554.638      178571      263811  0.184E-01  0.000E+00  0.000E+00  0.854E+00  0.000E+00  0.399E-01  0.000E+00  0.241E-01
140554.563      179484      265541  0.181E-01  0.000E+00  0.000E+00  0.864E+00  0.000E+00  0.321E-01  0.000E+00  0.233E-01
141554.565      180388      267277  0.178E-01  0.000E+00  0.000E+00  0.852E+00  0.000E+00  0.356E-01  0.000E+00  0.226E-01
142554.543      181259      269006  0.176E-01  0.000E+00  0.000E+00  0.862E+00  0.000E+00  0.401E-01  0.000E+00  0.219E-01
143554.701      182146      270736  0.173E-01  0.000E+00  0.000E+00  0.846E+00  0.000E+00  0.338E-01  0.000E+00  0.213E-01
144554.620      183034      272470  0.171E-01  0.000E+00  0.000E+00  0.844E+00  0.000E+00  0.402E-01  0.000E+00  0.206E-01
145554.781      183904      274205  0.169E-01  0.000E+00  0.000E+00  0.985E+00  0.000E+00  0.523E-01  0.000E+00  0.200E-01
150554.696      184757      275933  0.166E-01  0.000E+00  0.000E+00  0.577E+00  0.000E+00  0.381E-01  0.000E+00  0.194E-01
151554.620      185621      277666  0.164E-01  0.000E+00  0.000E+00  0.578E+00  0.000E+00  0.632E-01  0.000E+00  0.188E-01
152554.706      186506      279401  0.161E-01  0.000E+00  0.000E+00  0.572E+00  0.000E+00  0.481E-01  0.000E+00  0.183E-01
153554.836      187378      281142  0.159E-01  0.000E+00  0.000E+00  0.568E+00  0.000E+00  0.548E-01  0.000E+00  0.178E-01
154554.796      188265      282877  0.157E-01  0.000E+00  0.000E+00  0.569E+00  0.000E+00  0.655E-01  0.000E+00  0.173E-01
155554.721      189113      284616  0.155E-01  0.000E+00  0.000E+00  0.582E+00  0.000E+00  0.506E-01  0.000E+00  0.169E-01
160554.864      189997      286356  0.152E-01  0.000E+00  0.000E+00  0.565E+00  0.000E+00  0.596E-01  0.000E+00  0.164E-01
161554.886      190858      288095  0.151E-01  0.000E+00  0.000E+00  0.567E+00  0.000E+00  0.486E-01  0.000E+00  0.160E-01
162554.544      191703      289830  0.148E-01  0.000E+00  0.000E+00  0.575E+00  0.000E+00  0.684E-01  0.000E+00  0.157E-01
163554.579      192532      291563  0.146E-01  0.000E+00  0.000E+00  0.635E+00  0.000E+00  0.862E-01  0.000E+00  0.153E-01
164554.659      193378      293302  0.144E-01  0.000E+00  0.000E+00  0.499E+00  0.000E+00  0.664E-01  0.000E+00  0.150E-01
165554.705      194231      295047  0.142E-01  0.000E+00  0.000E+00  0.498E+00  0.000E+00  0.825E-01  0.000E+00  0.146E-01
170554.844      195070      296792  0.140E-01  0.000E+00  0.000E+00  0.517E+00  0.000E+00  0.686E-01  0.000E+00  0.144E-01
171554.731      195960      298538  0.138E-01  0.000E+00  0.000E+00  0.427E+00  0.000E+00  0.789E-01  0.000E+00  0.141E-01
172554.807      196794      300291  0.136E-01  0.000E+00  0.000E+00  0.437E+00  0.000E+00  0.781E-01  0.000E+00  0.139E-01
173554.635      197672      302034  0.135E-01  0.000E+00  0.000E+00  0.432E+00  0.000E+00  0.866E-01  0.000E+00  0.136E-01
174554.839      198495      303778  0.133E-01  0.000E+00  0.000E+00  0.422E+00  0.000E+00  0.793E-01  0.000E+00  0.134E-01
175554.753      199307      305518  0.131E-01  0.000E+00  0.000E+00  0.420E+00  0.000E+00  0.863E-01  0.000E+00  0.132E-01
180554.645      200113      307253  0.130E-01  0.000E+00  0.000E+00  0.417E+00  0.000E+00  0.987E-01  0.000E+00  0.131E-01
181554.749      200959      308981  0.128E-01  0.000E+00  0.000E+00  0.415E+00  0.000E+00  0.119E+00  0.000E+00  0.129E-01
182554.856      201762      310714  0.127E-01  0.000E+00  0.000E+00  0.415E+00  0.000E+00  0.102E+00  0.000E+00  0.128E-01
183554.833      202560      312454  0.125E-01  0.000E+00  0.000E+00  0.419E+00  0.000E+00  0.118E+00  0.000E+00  0.126E-01
184554.645      203398      314193  0.124E-01  0.000E+00  0.000E+00  0.424E+00  0.000E+00  0.145E+00  0.000E+00  0.125E-01
185554.576      204211      315928  0.123E-01  0.000E+00  0.000E+00  0.412E+00  0.000E+00  0.131E+00  0.000E+00  0.124E-01
190554.815      205014      317661  0.122E-01  0.000E+00  0.000E+00  0.422E+00  0.000E+00  0.174E+00  0.000E+00  0.122E-01
191554.813      205812      319394  0.120E-01  0.000E+00  0.000E+00  0.406E+00  0.000E+00  0.195E+00  0.000E+00  0.121E-01
192554.687      206648      321126  0.119E-01  0.000E+00  0.000E+00  0.435E+00  0.000E+00  0.216E+00  0.000E+00  0.120E-01
193554.760      207439      322862  0.118E-01  0.000E+00  0.000E+00  0.419E+00  0.000E+00  0.189E+00  0.000E+00  0.118E-01
194554.733      208209      324593  0.117E-01  0.000E+00  0.000E+00  0.403E+00  0.000E+00  0.182E+00  0.000E+00  0.117E-01
195554.877      209023      326326  0.116E-01  0.000E+00  0.000E+00  0.424E+00  0.000E+00  0.202E+00  0.000E+00  0.117E-01
200554.731      209791      328059  0.115E-01  0.000E+00  0.000E+00  0.410E+00  0.000E+00  0.221E+00  0.000E+00  0.116E-01
201554.703      210584      329797  0.114E-01  0.000E+00  0.000E+00  0.402E+00  0.000E+00  0.229E+00  0.000E+00  0.114E-01
202554.555      211408      331538  0.113E-01  0.000E+00  0.000E+00  0.400E+00  0.000E+00  0.220E+00  0.000E+00  0.114E-01
203554.631      212199      333275  0.112E-01  0.000E+00  0.000E+00  0.431E+00  0.000E+00  0.243E+00  0.000E+00  0.113E-01
204554.608      212955      335012  0.111E-01  0.000E+00  0.000E+00  0.408E+00  0.000E+00  0.225E+00  0.000E+00  0.112E-01
205554.779      213726      336757  0.111E-01  0.000E+00  0.000E+00  0.556E+00  0.000E+00  0.249E+00  0.000E+00  0.111E-01
210554.715      214550      338495  0.110E-01  0.000E+00  0.000E+00  0.643E+00  0.000E+00  0.211E+00  0.000E+00  0.110E-01
211554.653      215346      340229  0.109E-01  0.000E+00  0.000E+00  0.824E+00  0.000E+00  0.258E+00  0.000E+00  0.110E-01
212554.795      216141      341964  0.108E-01  0.000E+00  0.000E+00  0.437E+00  0.000E+00  0.281E+00  0.000E+00  0.109E-01
213554.627      216906      343703  0.107E-01  0.000E+00  0.000E+00  0.592E+00  0.000E+00  0.260E+00  0.000E+00  0.108E-01
214554.874      217702      345449  0.106E-01  0.000E+00  0.000E+00  0.495E+00  0.000E+00  0.293E+00  0.000E+00  0.107E-01
215554.692      218493      347195  0.106E-01  0.000E+00  0.000E+00  0.637E+00  0.000E+00  0.320E+00  0.000E+00  0.107E-01
