       Q,      F(Q)_RMC,  F(Q)_Expt
      5.2700000 ,       0.0340406 ,       0.0443399
      5.2800000 ,      -0.0022743 ,       0.0082494
      5.2900000 ,      -0.0832780 ,      -0.0738420
      5.3000000 ,      -0.2028335 ,      -0.1954137
      5.3100000 ,      -0.3412880 ,      -0.3361664
      5.3200000 ,      -0.4701920 ,      -0.4669386
      5.3300000 ,      -0.5590417 ,      -0.5566541
      5.3400000 ,      -0.5825309 ,      -0.5797343
      5.3500000 ,      -0.5266947 ,      -0.5223141
      5.3600000 ,      -0.3925807 ,      -0.3858824
      5.3700000 ,      -0.1966392 ,      -0.1875476
      5.3800000 ,       0.0322455 ,       0.0431138
      5.3900000 ,       0.2584186 ,       0.2699108
      5.4000000 ,       0.4465578 ,       0.4572910
      5.4100000 ,       0.5686590 ,       0.5773935
      5.4200000 ,       0.6093917 ,       0.6153741
      5.4300000 ,       0.5686944 ,       0.5718797
      5.4400000 ,       0.4611071 ,       0.4622032
      5.4500000 ,       0.3120698 ,       0.3123903
      5.4600000 ,       0.1520798 ,       0.1532428
      5.4700000 ,       0.0100513 ,       0.0135981
      5.4800000 ,      -0.0926391 ,      -0.0856109
      5.4900000 ,      -0.1461349 ,      -0.1352353
      5.5000000 ,      -0.1533105 ,      -0.1389564
      5.5100000 ,      -0.1280604 ,      -0.1113886
      5.5200000 ,      -0.0911833 ,      -0.0738042
      5.5300000 ,      -0.0649100 ,      -0.0485620
      5.5400000 ,      -0.0673909 ,      -0.0535820
      5.5500000 ,      -0.1084234 ,      -0.0981400
      5.5600000 ,      -0.1873588 ,      -0.1809057
      5.5700000 ,      -0.2935891 ,      -0.2905868
      5.5800000 ,      -0.4093910 ,      -0.4089175
      5.5900000 ,      -0.5143599 ,      -0.5151916
      5.6000000 ,      -0.5903191 ,      -0.5912027
      5.6100000 ,      -0.6255162 ,      -0.6254053
      5.6200000 ,      -0.6171331 ,      -0.6153367
      5.6300000 ,      -0.5715742 ,      -0.5677949
      5.6400000 ,      -0.5025533 ,      -0.4968221
      5.6500000 ,      -0.4275261 ,      -0.4200727
      5.6600000 ,      -0.3634049 ,      -0.3545113
      5.6700000 ,      -0.3226292 ,      -0.3125186
      5.6800000 ,      -0.3105455 ,      -0.2993398
      5.6900000 ,      -0.3246961 ,      -0.3124502
      5.7000000 ,      -0.3561213 ,      -0.3429161
      5.7100000 ,      -0.3922729 ,      -0.3783276
      5.7200000 ,      -0.4207412 ,      -0.4064971
      5.7300000 ,      -0.4328056 ,      -0.4189411
      5.7400000 ,      -0.4258814 ,      -0.4132374
      5.7500000 ,      -0.4042291 ,      -0.3936525
      5.7600000 ,      -0.3777391 ,      -0.3698799
      5.7700000 ,      -0.3591038 ,      -0.3542182
      5.7800000 ,      -0.3600977 ,      -0.3579164
      5.7900000 ,      -0.3879217 ,      -0.3876297
      5.8000000 ,      -0.4425629 ,      -0.4429099
      5.8100000 ,      -0.5158776 ,      -0.5154055
      5.8200000 ,      -0.5926882 ,      -0.5900305
      5.8300000 ,      -0.6536937 ,      -0.6478775
      5.8400000 ,      -0.6795478 ,      -0.6702248
      5.8500000 ,      -0.6551699 ,      -0.6427150
      5.8600000 ,      -0.5732872 ,      -0.5587330
      5.8700000 ,      -0.4363801 ,      -0.4211943
      5.8800000 ,      -0.2565746 ,      -0.2423261
      5.8900000 ,      -0.0535002 ,      -0.0414886
      5.9000000 ,       0.1493982 ,       0.1584635
      5.9100000 ,       0.3292597 ,       0.3354525
      5.9200000 ,       0.4679333 ,       0.4721276
      5.9300000 ,       0.5549357 ,       0.5586368
      5.9400000 ,       0.5886395 ,       0.5936645
      5.9500000 ,       0.5755207 ,       0.5835979
      5.9600000 ,       0.5277533 ,       0.5401319
      5.9700000 ,       0.4598169 ,       0.4769742
      5.9800000 ,       0.3849875 ,       0.4065010
      5.9900000 ,       0.3125735 ,       0.3371853
      6.0000000 ,       0.2465355 ,       0.2723948
      6.0100000 ,       0.1857595 ,       0.2107862
      6.0200000 ,       0.1258221 ,       0.1481107
      6.0300000 ,       0.0617086 ,       0.0798825
      6.0400000 ,      -0.0092929 ,       0.0041475
      6.0500000 ,      -0.0853360 ,      -0.0764293
      6.0600000 ,      -0.1590438 ,      -0.1537658
      6.0700000 ,      -0.2181355 ,      -0.2151260
